applicantId,state,gender,age,race,marital_status,occupation,credit_score,income,debts,loan_type,LoanAmount,Property,loan_decision_type
004NZMX60E,CA,Male,36,No co-applicant,Married,NYPD,710,9371.333333,2000,Personal,45,Urban,Approved
004NZMX60E,CA,Male,36,No co-applicant,Married,NYPD,720,9371.333333,3013.82,Auto,128,Rural,Approved
017STAOLDV,OH,Female,34,White,Married,IT,720,9010.25,1000,Credit,66,Urban,Approved
017WEFEN7S,OH,Male,48,No co-applicant,Married,Accout,670,6538,2099,Home,120,Urban,Approved
01FSKXYCRD,FL,Male,32,White,Single,Business,720,8679.416667,1000,Home,141,Urban,Approved
024LVUJ6HV,NY,Male,44,Not applicable,Single,Accout,540,6238,2500,Personal,267,Urban,Denied
03FK8JYSKI,OH,Female,60,Asian,Single,Manager,840,15010.25,5749.77,Personal,95,Urban,Approved
03FK8JYSKI,OH,Female,60,Asian,Single,Manager,824,15010.25,4938.71,Auto,158,Semiurban,Approved
03FK8JYSKI,OH,Female,60,Asian,Single,Manager,824,15010.25,4500,Credit,168,Urban,Approved
04WEQWB28Y,PA,Male,48,American Indian or Alaska Native,Married,Accout,490,6571,2000,Personal,349,Semiurban,Denied
05B3RZ1CD7,NY,Male,33,No co-applicant,Divorced,NYPD,720,8868.583333,1000,Home,70,Urban,Approved
05B3RZ1CD7,NY,Male,33,No co-applicant,Divorced,NYPD,720,8868.583333,3607.45,Auto,109,Urban,Denied
05II0K909R,MA,Male,43,No co-applicant,Divorced,Manager,700,12210,2000,Personal,200,Urban,Approved
05QM3K8BUK,TX,Male,19,American Indian or Alaska Native,Single,IT,775,4206.5,1757.85,Personal,114,Rural,Denied
05QM3K8BUK,TX,Male,19,American Indian or Alaska Native,Single,IT,770,4206.5,800,Auto,17,Urban,Approved
06LEM97BJB,DC,Male,28,Not applicable,Married,NYPD,806,7701.916667,1000,Auto,125,Urban,Approved
06LEM97BJB,DC,Male,28,Not applicable,Married,NYPD,803,7701.916667,1838.12,Credit,100,Urban,Approved
06O9BXW47C,AL,Female,36,Native Hawaiian or Other Pacific Islander,Married,NYPD,551,9382.75,3500,Personal,76,Urban,Denied
07KO5W2U4N,PA,Female,44,White,Single,Manager,695,12377.5,4857.94,Auto,133,Rural,Approved
07KO5W2U4N,PA,Female,44,White,Single,Manager,690,12377.5,2000,Home,115,Urban,Approved
08GNNP7EIC,OK,Male,31,Asian,Divorced,NYPD,520,8534.416667,3500,Auto,104,Urban,Denied
08P0VLYZMP,VA,Male,26,American Indian or Alaska Native,Married,Accout,580,4706.5,1000,Home,315,Urban,Approved
09E8S4SO9Y,MD,Male,63,White,Single,Accout,740,7240.333333,2300,Personal,116,Semiurban,Approved
09HR2Q5Y2A,NY,Male,20,No co-applicant,Divorced,Business,560,5034.333333,800,Auto,112,Rural,Denied
09VZNXODJ0,OH,Male,45,No co-applicant,Single,IT,710,11269.16667,5234.95,Personal,151,Semiurban,Denied
09VZNXODJ0,OH,Male,45,No co-applicant,Single,IT,700,11269.16667,3000,Home,191,Semiurban,Approved
0A9A7JTA1S,RI,Male,26,No co-applicant,Married,Accout,704,4732.416667,800,Auto,122,Semiurban,Approved
0AGQ8BM596,VA,Male,60,American Indian or Alaska Native,Married,IT,750,14618.58333,4000,Auto,110,Urban,Approved
0AGQ8BM596,VA,Male,60,American Indian or Alaska Native,Married,IT,755,14618.58333,4912.66,Personal,35,Urban,Approved
0AN7VXQUSA,VA,Female,38,Not applicable,Single,NYPD,713,9728.333333,1249,Home,120,Semiurban,Approved
0AQFWDBLDX,PA,Male,39,Asian,Married,Manager,700,11370.83333,3000,Auto,201,Urban,Approved
0AT5ZQ66WJ,OR,Male,65,Not applicable,Divorced,IT,740,15510.25,6000,Personal,74,Urban,Approved
0AT5ZQ66WJ,OR,Male,65,Not applicable,Divorced,IT,745,15510.25,7535.5,Credit,106,Rural,Denied
0B4K5PCIU7,TN,Male,32,Asian,Single,Business,690,8686.25,2000,Auto,114,Semiurban,Approved
0B4K5PCIU7,TN,Male,32,Asian,Single,Business,700,8686.25,3521,Home,320,Rural,Denied
0BDHWFH19F,MI,Male,34,Not applicable,Single,Business,550,9062.166667,4000,Auto,100,Urban,Denied
0BTGB33C3H,MI,Female,35,No co-applicant,Divorced,Business,713,9201.916667,2000,Auto,100,Urban,Approved
0CRHL3M30T,GA,Male,19,No co-applicant,Single,IT,779,4269.666667,1100,Auto,144,Semiurban,Approved
0CRHL3M30T,GA,Male,19,No co-applicant,Single,IT,780,4269.666667,1708.44,Personal,184,Urban,Denied
0CX2XBSEI3,GA,Male,37,Asian,Single,Manager,722,10732.91667,4500,Auto,110,Semiurban,Denied
